length,compile,extraction
289,70.222344137,37.834022963
321,97.029661619,51.627188691
29,10.808670277000001,3.758851877
151,8.876031235,2.379133142
80,4.776949902,0.923302214
55,4.493924305,0.55513472
201,21.298435958,9.957812911
197,21.588195709,9.871799156
25,1.285354072,0.073913294
87,53.769317031,27.65486648
47,1.6681810430000001,0.081472503
79,2.544908954,0.383556863
71,43.193641192,13.261419877
92,5.083157888,0.783532497
33,11.784128163,3.810104085
77,2.907372823,0.235720932
303,47.961669459,23.714471578
326,21.754388668,9.041288469
32,1.946282268,0.120358447
251,31.463537201,16.191978595
267,46.657537505,27.12222729
256,52.183888957,26.197365958
24,1.826040149,0.068431711
45,1.713177723,0.132953933
263,55.36509204,26.823871632
61,1.507005159,0.086678546
136,13.526050773,4.528088406
56,2.758403191,0.228514759
77,2.327523217,0.20215034
24,1.17083589,0.043622078
29,2.33277182,0.179908023
33,2.134082261,0.143458144
15,0.846481894,0.018621662
74,2.627071998,0.202254632
39,1.79216758,0.091214978
231,59.765556205,27.257085625
257,84.662768172,35.179351943
184,19.260720693,8.668962371
267,71.757244033,24.072028912
32,7.552132588,2.3160405969999998
47,2.058695157,0.133934793
33,1.879905871,0.087226009
33,2.648790958,0.195931682
27,1.46328308,0.039945334
263,45.388900035,22.44424287
337,65.31631928,31.74463111
58,2.940393338,0.285823568
169,9.638405677,2.472606363
156,8.893066107,1.853771432
129,8.568032919,2.26658453
83,3.235293109,0.341314475
88,1.98206403,0.148224582
196,43.346512124,19.240160431
44,11.264519697,3.450110876
39,1.852052292,0.102586119
105,18.728519064,8.274365963
89,3.303343264,0.554645998
77,10.075853787,3.578379607
48,2.108045024,0.10340844
33,2.288257399,0.146999321
58,5.888293954,0.974743092
34,3.213975342,0.245104331
71,3.238537767,0.441188507
120,56.685765518,29.127005289
115,86.151553673,37.072095284
119,1.255289299,0.066762247
31,1.201172385,0.043000043
95,3.548379295,0.424313099
29,2.970866412,0.206722136
86,2.380747403,0.426711333
59,3.105795174,0.245783931
23,1.442748662,0.048775604
40,3.327698636,0.304736638
42,3.396825837,0.340404473
73,4.248660214,0.573658598
216,52.220522504,24.842098865
215,40.755674432,19.846240485
202,31.470067356,14.956320257
50,3.405473512,0.420327268
141,14.415767288,5.248348627
175,28.730433148,12.648526251
30,8.104566718,1.904969597
57,2.514299232,0.221031169
