name                                                               ,length ,PEG2PEGTIME ,PBTIME ,ENGINETIME ,Optimization took
"FFT: double measureFFT(int,double,Random)"                        ,    20 ,       1022 ,   987 ,        11 ,             1106
"FFT: void main(int)"                                              ,     2 ,        750 ,   726 ,         4 ,              756
"FFT: long inst_main(java.lang.String[])"                          ,     2 ,        398 ,   368 ,         2 ,              402
"FFT: void inverse(double[])"                                      ,     6 ,      10294 ,  9442 ,       835 ,            10347
"FFT: void bitreverse(double[])"                                   ,    22 ,      10393 ,  9883 ,       469 ,            10512
"FFT: double num_flops(int)"                                       ,     3 ,        772 ,   633 ,        83 ,              794
"FFT: double[] makeRandom(int)"                                    ,     5 ,       9210 ,  8983 ,       187 ,             9248
"FFT: double test(double[])"                                       ,    11 ,      11706 , 11066 ,       586 ,            11762
"Stopwatch: double seconds()"                                      ,     1 ,        818 ,   629 ,        19 ,             1077
"Stopwatch: double read()"                                         ,     5 ,        595 ,   573 ,         7 ,              612
"Stopwatch: void resume()"                                         ,     4 ,        489 ,   464 ,         4 ,              501
"Stopwatch: void reset()"                                          ,     3 ,        469 ,   412 ,         2 ,              484
"Stopwatch: double stop()"                                         ,     5 ,        557 ,   527 ,        12 ,              570
"Stopwatch: void start()"                                          ,     5 ,        396 ,   370 ,         4 ,              436
"MonteCarlo: void run()"                                           ,     4 ,        436 ,   422 ,         1 ,              441
"MonteCarlo: double integrate(int)"                                ,    10 ,       7516 ,  6801 ,       684 ,             7594
"MonteCarlo: double num_flops(int)"                                ,     1 ,        420 ,   377 ,        16 ,              429
"MonteCarlo: void main()"                                          ,     2 ,        454 ,   413 ,         3 ,              471
"MonteCarlo: double measureMonteCarlo(double,Random)"              ,     9 ,        604 ,   569 ,         7 ,              619
"SparseCompRow: void main(int)"                                    ,     2 ,        487 ,   451 ,         3 ,              511
"SparseCompRow: double num_flops(int,int,int)"                     ,     2 ,        530 ,   417 ,        44 ,              545
"SparseCompRow: void run()"                                        ,     7 ,        639 ,   613 ,         6 ,              647
"kernel: double[] matvec(double[][],double[])"                     ,     4 ,        489 ,   462 ,         4 ,              514
"kernel: void CopyVector(double[],double[])"                       ,     3 ,       9959 ,  9632 ,       286 ,             9976
"kernel: void init()"                                              ,    44 ,       1231 ,  1186 ,        23 ,             1397
"kernel: double normabs(double[],double[])"                        ,     5 ,       4839 ,  4587 ,       220 ,             4882
"kernel: void checkResults(java.lang.String,java.lang.String,int)" ,     8 ,        825 ,   778 ,         8 ,              888
"kernel: double[][] RandomizeMatrix(double[][],Random)"            ,     4 ,       4467 ,  4311 ,       135 ,             4521
"kernel: double[][] RandomMatrix(int,int,Random)"                  ,     5 ,       6376 ,  6213 ,       147 ,             6487
"kernel: double[] RandomVector(int,Random)"                        ,     4 ,       7850 ,  7729 ,       106 ,             7867
"kernel: void CopyMatrix(double[][],double[][])"                   ,    15 ,      10733 , 10551 ,       162 ,            10812
"kernel: void matvec(double[][],double[],double[])"                ,     4 ,      13318 , 12912 ,       383 ,            13380
"kernel: double[] NewVectorCopy(double[])"                         ,     5 ,       9980 ,  9359 ,       556 ,            10031
"kernel: double[] RandomizeVector(double[],Random)"                ,     3 ,       5837 ,  5700 ,       122 ,             5853
