benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/benchmark/,"Benchmark: void <init>()>\",-1,448,304,6,561,10,10
java/benchmark/,"Benchmark: int branchHoistingOriginal(int)>\",33,-1,-1,-1,-1,-1,-1
java/benchmark/,"Benchmark: int branchHoistingExpected(int)>\",33,42655,41670,956,42703,1726,822
java/benchmark/,"Benchmark: int conditionalConstantFoldingOriginal(int)>\",20,484,450,13,495,16,14
java/benchmark/,"Benchmark: int conditionalConstantFoldingExpected()>\",2,261,245,2,264,5,5
java/benchmark/,"Benchmark: int constantFoldOriginal()>\",10,256,239,5,259,9,9
java/benchmark/,"Benchmark: int deadLoopDeletionOriginal()>\",21,241,229,0,244,5,5
java/benchmark/,"Benchmark: int functionInliningFoo()>\",1,241,229,0,244,5,5
java/benchmark/,"Benchmark: int functionInliningOriginal(int)>\",5,394,381,3,398,12,11
java/benchmark/,"Benchmark: int functionInliningExpected(int)>\",3,363,351,1,369,8,7
java/benchmark/,"Benchmark: int ifTrueOriginal(int)>\",1,241,229,1,245,5,5
java/benchmark/,"Benchmark: int ifTrueExpected(int)>\",1,243,231,1,246,5,5
java/benchmark/,"Benchmark: int infiniteEffectfulLoopOriginal()>\",22,-1,-1,-1,-1,1043,716
java/benchmark/,"Benchmark: int infiniteLoopOriginal()>\",16,-1,-1,-1,-1,787,134
java/benchmark/,"Benchmark: int loopBasedCodeMotionOriginal()>\",17,16735,14413,2304,16747,1204,981
java/benchmark/,"Benchmark: int loopBasedCodeMotionExpected()>\",16,9877,8032,1825,9884,721,123
java/benchmark/,"Benchmark: void loopInvariantCodeMotionOriginal(int,int)>\",36,17705,17394,296,17766,1263,646
java/benchmark/,"Benchmark: void loopInvariantCodeMotionExpected(int,int)>\",36,18164,17787,359,18191,1267,647
java/benchmark/,"Benchmark: int loopPeelingOriginal(int)>\",19,25553,22866,2673,25574,1851,206
java/benchmark/,"Benchmark: int loopPeelingExpected(int)>\",31,18758,17751,981,18780,1427,157
java/benchmark/,"Benchmark: void loopStrengthReductionOriginal()>\",30,40342,39109,1178,40357,3113,1232
java/benchmark/,"Benchmark: void loopStrengthReductionExpected()>\",28,31017,30395,603,31035,1790,524
java/benchmark/,"Benchmark: void loopStrengthReductionModifiedOriginal()>\",42,18460,18003,441,18473,1405,841
java/benchmark/,"Benchmark: void loopStrengthReductionModifiedExpected()>\",42,23893,23380,500,23928,1704,1195
java/benchmark/,"Benchmark: int loopUnrollOriginal(int)>\",14,10554,8171,2354,10576,721,123
java/benchmark/,"Benchmark: int loopUnrollExpected(int)>\",1,255,236,1,258,5,5
java/benchmark/,"Benchmark: int simpleLoopUnswitchOriginal(int)>\",32,16089,15857,222,16148,1097,732
java/benchmark/,"Failing: void <init>()>\",-1,462,313,6,583,10,10
java/benchmark/,"Failing: int simpleLoopUnswitchExpected(int)>\",58,16303,15451,802,16380,1048,698
